rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method,岩石分类,变质程度,地质意义
Ga-cpx-hb-pl Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-片麻岩,3005,,6.98,,3.81,,100,MPa,25,mafic,amphibolite,50.04,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-片麻岩,3005,,7.12,,3.86,,200,MPa,25,mafic,amphibolite,50.04,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-片麻岩,3005,,7.21,,3.92,,400,MPa,25,mafic,amphibolite,50.04,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-片麻岩,3005,,7.27,,4.02,,600,MPa,25,mafic,amphibolite,50.04,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Hb-bi-qtz Gneiss,,角闪石-黑云母-石英片麻岩,2777,,6.58,,3.64,,100,MPa,25,intermediate,granulite,64.98,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,中-基性片麻岩
Hb-bi-qtz Gneiss,,角闪石-黑云母-石英片麻岩,2777,,6.72,,3.69,,200,MPa,25,intermediate,granulite,64.98,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,中-基性片麻岩
Hb-bi-qtz Gneiss,,角闪石-黑云母-石英片麻岩,2777,,6.82,,3.75,,400,MPa,25,intermediate,granulite,64.98,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,中-基性片麻岩
Hb-bi-qtz Gneiss,,角闪石-黑云母-石英片麻岩,2777,,6.87,,3.83,,600,MPa,25,intermediate,granulite,64.98,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,中-基性片麻岩
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,2855,,6.54,,,,100,MPa,25,intermediate,granulite,60.53,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,2855,,6.65,,,,200,MPa,25,intermediate,granulite,60.53,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,2855,,6.73,,,,400,MPa,25,intermediate,granulite,60.53,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,2855,,6.78,,,,600,MPa,25,intermediate,granulite,60.53,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl-qtz Gneiss,,石榴子石-角闪石-斜长石-石英-片麻岩,3105,,7.02,,,,100,MPa,25,mafic,granulite,48.32,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl-qtz Gneiss,,石榴子石-角闪石-斜长石-石英-片麻岩,3105,,7.13,,,,200,MPa,25,mafic,granulite,48.32,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl-qtz Gneiss,,石榴子石-角闪石-斜长石-石英-片麻岩,3105,,7.22,,,,400,MPa,25,mafic,granulite,48.32,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl-qtz Gneiss,,石榴子石-角闪石-斜长石-石英-片麻岩,3105,,7.28,,,,600,MPa,25,mafic,granulite,48.32,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Gabbroic Anorthosite,,辉长质斜长岩,2901,,7.16,,3.86,,100,MPa,25,mafic,,48.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,层状侵入体中斜长石堆晶岩
Gabbroic Anorthosite,,辉长质斜长岩,2901,,7.27,,3.9,,200,MPa,25,mafic,,48.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,层状侵入体中斜长石堆晶岩
Gabbroic Anorthosite,,辉长质斜长岩,2901,,7.34,,3.95,,400,MPa,25,mafic,,48.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,层状侵入体中斜长石堆晶岩
Gabbroic Anorthosite,,辉长质斜长岩,2901,,7.39,,4.01,,600,MPa,25,mafic,,48.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,层状侵入体中斜长石堆晶岩
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2785,,6.22,,3.31,,100,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2785,,6.41,,3.36,,200,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2785,,6.52,,3.41,,400,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2785,,6.58,,3.53,,600,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2872,,6.43,,,,100,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2872,,6.5,,,,200,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2872,,6.55,,,,400,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-opx-bi-pl-qtz Gneiss,,石榴子石-斜方辉石-黑云母-斜长石-石英-片麻岩,2872,,6.6,,,,600,MPa,25,felsic,granulite,64.93,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Anorthosite,,斜长岩,2737,,6.71,,,,100,MPa,25,mafic,,48.33,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大型层状侵入体主要岩石，常伴生钛、铁、钒矿床
Anorthosite,,斜长岩,2737,,6.93,,,,200,MPa,25,mafic,,48.33,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大型层状侵入体主要岩石，常伴生钛、铁、钒矿床
Anorthosite,,斜长岩,2737,,7.06,,,,400,MPa,25,mafic,,48.33,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大型层状侵入体主要岩石，常伴生钛、铁、钒矿床
Anorthosite,,斜长岩,2737,,7.12,,,,600,MPa,25,mafic,,48.33,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大型层状侵入体主要岩石，常伴生钛、铁、钒矿床
Ga-hb-bi-pl-qtz Gneiss,,石榴子石-角闪石-黑云母-斜长石-石英-片麻岩,2713,,6.36,,,,100,MPa,25,felsic,amphibolite,68.42,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-bi-pl-qtz Gneiss,,石榴子石-角闪石-黑云母-斜长石-石英-片麻岩,2713,,6.46,,,,200,MPa,25,felsic,amphibolite,68.42,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-bi-pl-qtz Gneiss,,石榴子石-角闪石-黑云母-斜长石-石英-片麻岩,2713,,6.51,,,,400,MPa,25,felsic,amphibolite,68.42,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-bi-pl-qtz Gneiss,,石榴子石-角闪石-黑云母-斜长石-石英-片麻岩,2713,,6.55,,,,600,MPa,25,felsic,amphibolite,68.42,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Bi-pl-qtz Gneiss,,黑云母-斜长石-石英片麻岩,2752,,5.93,,3.24,,100,MPa,25,psammitic,,56.89,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,副片麻岩，原岩为长石砂岩或硬砂岩
Bi-pl-qtz Gneiss,,黑云母-斜长石-石英片麻岩,2752,,6.13,,3.29,,200,MPa,25,psammitic,,56.89,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,副片麻岩，原岩为长石砂岩或硬砂岩
Bi-pl-qtz Gneiss,,黑云母-斜长石-石英片麻岩,2752,,6.28,,3.33,,400,MPa,25,psammitic,,56.89,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,副片麻岩，原岩为长石砂岩或硬砂岩
Bi-pl-qtz Gneiss,,黑云母-斜长石-石英片麻岩,2752,,6.35,,3.46,,600,MPa,25,psammitic,,56.89,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,副片麻岩，原岩为长石砂岩或硬砂岩
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3020,,6.92,,,,100,MPa,25,intermediate,granulite,53.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3020,,7.02,,,,200,MPa,25,intermediate,granulite,53.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3020,,7.09,,,,400,MPa,25,intermediate,granulite,53.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3020,,7.14,,,,600,MPa,25,intermediate,granulite,53.62,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Granite,,花岗岩,2670,,6.44,,3.67,,100,MPa,25,felsic,,70.31,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2670,,6.54,,3.74,,200,MPa,25,felsic,,70.31,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2670,,6.6,,3.8,,400,MPa,25,felsic,,70.31,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2670,,6.65,,3.85,,600,MPa,25,felsic,,70.31,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Metaandesite (24% Chlorite),,变安山岩（24% 绿泥石）,2744,,6.2,,3.5,,100,MPa,25,intermediate,greenschist,58.49,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Metaandesite (24% Chlorite),,变安山岩（24% 绿泥石）,2744,,6.39,,3.55,,200,MPa,25,intermediate,greenschist,58.49,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Metaandesite (24% Chlorite),,变安山岩（24% 绿泥石）,2744,,6.48,,3.61,,400,MPa,25,intermediate,greenschist,58.49,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Metaandesite (24% Chlorite),,变安山岩（24% 绿泥石）,2744,,6.52,,3.71,,600,MPa,25,intermediate,greenschist,58.49,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Metagraywacke,,变质杂砂岩,2744,,6.25,,,,100,MPa,25,psammitic,,62.63,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,杂砂岩变质产物，反映浊积岩变质
Metagraywacke,,变质杂砂岩,2744,,6.34,,,,200,MPa,25,psammitic,,62.63,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,杂砂岩变质产物，反映浊积岩变质
Metagraywacke,,变质杂砂岩,2744,,6.4,,,,400,MPa,25,psammitic,,62.63,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,杂砂岩变质产物，反映浊积岩变质
Metagraywacke,,变质杂砂岩,2744,,6.44,,,,600,MPa,25,psammitic,,62.63,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,杂砂岩变质产物，反映浊积岩变质
Metabasalt,,变玄武岩,2981,,7.07,,,,100,MPa,25,mafic,amphibolite,48.34,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,玄武岩区域变质产物，常见于绿岩带和蛇绿岩
Metabasalt,,变玄武岩,2981,,7.11,,,,200,MPa,25,mafic,amphibolite,48.34,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,玄武岩区域变质产物，常见于绿岩带和蛇绿岩
Metabasalt,,变玄武岩,2981,,7.15,,,,400,MPa,25,mafic,amphibolite,48.34,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,玄武岩区域变质产物，常见于绿岩带和蛇绿岩
Metabasalt,,变玄武岩,2981,,7.18,,,,600,MPa,25,mafic,amphibolite,48.34,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,玄武岩区域变质产物，常见于绿岩带和蛇绿岩
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3086,,7.1,,3.85,,100,MPa,25,mafic,granulite,48.57,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3086,,7.24,,3.92,,200,MPa,25,mafic,granulite,48.57,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3086,,7.33,,3.98,,400,MPa,25,mafic,granulite,48.57,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-cpx-hb-pl-qtz Gneiss,,石榴子石-单斜辉石-角闪石-斜长石-石英-片麻岩,3086,,7.38,,4.06,,600,MPa,25,mafic,granulite,48.57,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3172,,7.25,,,,100,MPa,25,mafic,granulite,46.52,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3172,,7.3,,,,200,MPa,25,mafic,granulite,46.52,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3172,,7.36,,,,400,MPa,25,mafic,granulite,46.52,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3172,,7.4,,,,600,MPa,25,mafic,granulite,46.52,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3116,,7.1,,3.85,,100,MPa,25,mafic,granulite,47.59,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3116,,7.28,,3.91,,200,MPa,25,mafic,granulite,47.59,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3116,,7.38,,3.97,,400,MPa,25,mafic,granulite,47.59,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Ga-hb-pl Gneiss,,石榴子石-角闪石-斜长石-片麻岩,3116,,7.44,,4.05,,600,MPa,25,mafic,granulite,47.59,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,,,
Grandiorite Gneiss,,花岗闪长质片麻岩,2692,,6.35,,,,100,MPa,25,felsic,amphibolite,68.9,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,原岩为花岗闪长岩，常见于太古宙地盾
Grandiorite Gneiss,,花岗闪长质片麻岩,2692,,6.46,,,,200,MPa,25,felsic,amphibolite,68.9,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,原岩为花岗闪长岩，常见于太古宙地盾
Grandiorite Gneiss,,花岗闪长质片麻岩,2692,,6.53,,,,400,MPa,25,felsic,amphibolite,68.9,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,原岩为花岗闪长岩，常见于太古宙地盾
Grandiorite Gneiss,,花岗闪长质片麻岩,2692,,6.56,,,,600,MPa,25,felsic,amphibolite,68.9,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict,变质岩,角闪岩相,原岩为花岗闪长岩，常见于太古宙地盾
