model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_s,x_conv_km,h_km,vp_vs_ratio
115.602000,84.860000,30.742000,0.958736,0.944413,85.913548,1.365619,2.916442
115.763000,84.860000,30.903000,0.960025,0.944444,85.913610,1.365643,2.916441
115.924000,84.860000,31.064000,0.960778,0.945113,85.914942,1.366166,2.916432
116.085000,84.860000,31.225000,0.962247,0.945784,85.916278,1.366693,2.916424
116.244000,84.860000,31.384000,0.963207,0.947389,85.919468,1.367957,2.916402
116.394000,84.860000,31.534000,0.962893,0.949148,85.922951,1.369347,2.916379
116.556000,84.860000,31.696000,0.963094,0.950773,85.926160,1.370636,2.916357
116.714000,84.860000,31.854000,0.962900,0.952084,85.928743,1.371680,2.916340
116.875000,84.860000,32.015000,0.962857,0.953315,85.931163,1.372663,2.916323
117.026000,84.860000,32.166000,0.962779,0.954174,85.932851,1.373351,2.916311
117.187000,84.860000,32.327000,0.962190,0.955096,85.934657,1.374090,2.916299
117.345000,84.860000,32.485000,0.961302,0.954715,85.933910,1.373784,2.916304
117.496000,84.860000,32.636000,0.959199,0.954328,85.933153,1.373475,2.916309
117.657000,84.860000,32.797000,0.957091,0.951068,85.926743,1.370871,2.916353
117.808000,84.860000,32.948000,0.954537,0.946850,85.918397,1.367532,2.916409
117.969000,84.860000,33.109000,0.951349,0.945730,85.912521,1.369519,2.916376
118.131000,84.860000,33.271000,0.948506,0.940924,85.901246,1.367047,2.916418
118.292000,84.860000,33.432000,0.945308,0.936402,85.890554,1.364747,2.916456
118.443000,84.860000,33.583000,0.942006,0.932818,85.882023,1.362941,2.916487
118.604000,84.860000,33.744000,0.938527,0.929071,85.873048,1.361070,2.916518
118.765000,84.860000,33.905000,0.934304,0.946535,85.887250,1.389416,2.917257
118.929000,84.860000,34.069000,0.930036,0.945889,85.882088,1.391764,2.917248
119.080000,84.860000,34.220000,0.925625,0.945344,85.877603,1.393824,2.917240
119.241000,84.860000,34.381000,0.921973,0.944799,85.872970,1.395974,2.917232
119.406000,84.860000,34.546000,0.918045,0.944391,85.869408,1.397642,2.917225
119.567000,84.860000,34.707000,0.914602,0.944172,85.867452,1.398564,2.917222
119.728000,84.860000,34.868000,0.911159,0.944004,85.865928,1.399285,2.917219
119.890000,84.860000,35.030000,0.908813,0.944006,85.865943,1.399278,2.917219
120.051000,84.860000,35.191000,0.907247,0.944008,85.865960,1.399270,2.917219
120.212000,84.860000,35.352000,0.905858,0.944093,85.866734,1.398903,2.917221
120.373000,84.860000,35.513000,0.905577,0.944179,85.867509,1.398537,2.917222
120.535000,84.860000,35.675000,0.905805,0.944442,85.869859,1.397430,2.917226
120.696000,84.860000,35.836000,0.906794,0.944760,85.872634,1.396131,2.917231
120.857000,84.860000,35.997000,0.908369,0.945288,85.877135,1.394040,2.917239
121.022000,84.860000,36.162000,0.910212,0.946017,85.883125,1.391290,2.917250
121.183000,84.860000,36.323000,0.911789,0.946832,85.889564,1.388371,2.917261
121.344000,84.860000,36.484000,0.914683,0.932034,85.880150,1.362548,2.916493
121.508000,84.860000,36.648000,0.916642,0.937069,85.892136,1.365084,2.916451
121.670000,84.860000,36.810000,0.917822,0.942299,85.904479,1.367751,2.916406
121.831000,84.860000,36.971000,0.916752,0.944172,85.913065,1.365430,2.916445
121.985000,84.860000,37.125000,0.917617,0.950873,85.926359,1.370716,2.916356
122.146000,84.860000,37.286000,0.918763,0.958149,85.940624,1.376547,2.916258
122.310000,84.860000,37.450000,0.918842,0.963005,85.950061,1.380482,2.916191
122.472000,84.860000,37.612000,0.918149,0.966666,85.957140,1.383468,2.916141
122.633000,84.860000,37.773000,0.918534,0.967847,85.959417,1.384434,2.916125
122.797000,84.860000,37.937000,0.918407,0.966441,85.956706,1.383284,2.916144
122.958000,84.860000,38.098000,0.919163,0.963499,85.951019,1.380884,2.916185
123.109000,84.860000,38.249000,0.919238,0.957298,85.938962,1.375860,2.916269
